URL,Primary topic,Page type
/corporate-gifting/,"Corporate gifting",collection
/employee-gifts/,"Employee gifts",collection
/client-gifts/,"Client gifts",collection
/corporate-merchandise/,"Corporate merchandise",collection
/employee-welcome-kits/,"Employee welcome gifts",collection
/onboarding-kits/,"Onboarding kits",collection
/diwali-gifts/,"Diwali gifts",collection
/corporate-diwali-gifts/,"Corporate Diwali gifts",collection
/diwali-gifts-for-employees/,"Diwali gifts for employees",collection
/diwali-gifts-for-clients/,"Diwali gifts for clients",collection
/gift-hampers/,"Gift hampers",collection
/dry-fruit-hampers/,"Dry fruit hampers",collection
/chocolate-hampers/,"Chocolate hampers",collection
/gourmet-hampers/,"Gourmet hampers",collection
/healthy-hampers/,"Healthy hamper ideas",collection
/wellness-hampers/,"Wellness hampers",collection
/gifts-under-500/,"Gifts under ₹500",collection
/gifts-under-1000/,"Gifts under ₹1,000",collection
/gifts-under-1500/,"Gifts under ₹1,500",collection
/gifts-under-2000/,"Gifts under ₹2,000",collection
/gifts-under-2500/,"Gifts under ₹2,500",collection
/blog/how-to-make-a-gift-hamper/,"How to make a gift hamper at home",article
/blog/hamper-budget-checklist/,"How to plan a hamper budget",article
/blog/corporate-gifting-planning-checklist/,"A practical corporate gifting checklist",article
/blog/corporate-diwali-gifting-guide/,"Corporate Diwali gifting: compare contents and plan your order",article
/blog/employee-welcome-kit-checklist/,"Employee welcome kit checklist for new joiners",article
/blog/bulk-gift-order-planning/,"How to plan a bulk gift order for your team or clients",article
